,model,class,score,area_px,small_object,box
0,Faster R-CNN,car,0.996,54861.3,false,"675,499.4,986.8,675.3"
1,Faster R-CNN,car,0.995,28827,false,"2,313.6,149,509.7"
2,Faster R-CNN,car,0.993,39092.5,false,"656.4,315.2,889.5,482.9"
3,Faster R-CNN,car,0.992,22152.6,false,"848,208.7,1010.1,345.4"
4,Faster R-CNN,car,0.991,10450.1,false,"2.6,435.7,58.4,623.2"
5,Faster R-CNN,car,0.99,5881.4,true,"959.2,52.4,1024,143.1"
6,Faster R-CNN,car,0.988,4937.5,true,"0.9,85.1,50.9,184"
7,Faster R-CNN,car,0.988,16800.6,false,"94,618.3,370.1,679.2"
8,Faster R-CNN,car,0.987,3843.6,true,"992.8,299.8,1023.3,425.7"
9,Faster R-CNN,car,0.985,17434.5,false,"2.4,218.1,144.3,341"
10,Faster R-CNN,car,0.983,25624.3,false,"15.2,161,187.8,309.4"
11,Faster R-CNN,car,0.98,6608.2,true,"966.6,248.4,1020.3,371.5"
12,Faster R-CNN,car,0.979,52604.5,false,"602.7,396.3,840.8,617.3"
13,Faster R-CNN,car,0.977,6956,true,"9.1,70.2,84.4,162.5"
14,Faster R-CNN,car,0.976,43225.4,false,"163,387.3,389.9,577.7"
15,Faster R-CNN,car,0.976,11838.2,false,"755.2,79.1,870.9,181.4"
16,Faster R-CNN,car,0.971,66829,false,"206.3,440,488.6,676.7"
17,Faster R-CNN,car,0.969,7266.5,false,"536.9,1.9,631.9,78.4"
18,Faster R-CNN,car,0.966,23720.5,false,"267.7,215.8,438.6,354.6"
19,Faster R-CNN,car,0.962,28498.4,false,"616.5,232.8,793.5,393.8"
20,Faster R-CNN,car,0.961,32156.3,false,"306.4,302.6,480.8,487"
21,Faster R-CNN,car,0.961,7683.6,false,"742.5,52.1,848.2,124.8"
22,Faster R-CNN,car,0.958,15521.5,false,"872.8,146,1021.3,250.6"
23,Faster R-CNN,car,0.952,5488,true,"44.4,61.7,117.5,136.8"
24,Faster R-CNN,car,0.948,19443.5,false,"590.7,156.9,752.5,277.1"
25,Faster R-CNN,car,0.947,11558.9,false,"115.3,145.4,220,255.8"
26,Faster R-CNN,car,0.945,8597.3,false,"221.5,36.2,318.7,124.7"
27,Faster R-CNN,car,0.941,32922.3,false,"303.9,223.1,496.3,394.2"
28,Faster R-CNN,car,0.94,6148.5,true,"727.9,37.8,820.5,104.2"
29,Faster R-CNN,car,0.929,13132,false,"125,96.7,250.5,201.3"
30,Faster R-CNN,car,0.923,13590.3,false,"409,76,531.5,187"
31,Faster R-CNN,car,0.92,7073.6,false,"905.8,13.1,995.4,92.1"
32,Faster R-CNN,car,0.919,7245.5,false,"85.1,2.9,172.5,85.8"
33,Faster R-CNN,car,0.919,12805.2,false,"2.1,290,135.8,385.8"
34,Faster R-CNN,car,0.918,14200,false,"846.1,130.1,983.7,233.3"
35,Faster R-CNN,car,0.914,9103.1,false,"317.9,173.6,462.4,236.5"
36,Faster R-CNN,car,0.888,3321.2,true,"144.8,0.2,205.8,54.6"
37,Faster R-CNN,car,0.877,12734.6,false,"171.1,61.9,286.5,172.3"
38,Faster R-CNN,car,0.866,35213.6,false,"1.1,204.6,149.6,441.7"
39,Faster R-CNN,car,0.841,10090.8,false,"343.8,112.1,468.5,193"
40,Faster R-CNN,car,0.81,14266.5,false,"567.7,130.2,689.9,246.9"
41,Faster R-CNN,car,0.792,11081,false,"99,123.3,227.8,209.4"
42,Faster R-CNN,truck,0.79,15872.2,false,"344.2,19.5,481.7,134.9"
43,Faster R-CNN,car,0.775,14470.4,false,"825.8,99.7,964.6,204"
44,Faster R-CNN,car,0.721,1183.7,true,"192.3,1,224.3,38"
45,Faster R-CNN,car,0.702,9980.2,false,"704.7,640.9,954.2,680.9"
46,Faster R-CNN,car,0.676,5343.2,true,"255.3,26.3,338.8,90.2"
47,Faster R-CNN,car,0.629,5785.2,true,"398.4,8.3,488.9,72.2"
48,Faster R-CNN,car,0.597,9008.2,false,"344.3,144.9,472.6,215.1"
49,Faster R-CNN,car,0.582,4275.5,true,"800.8,35.6,877.2,91.5"
50,Faster R-CNN,car,0.552,88402.1,false,"608.1,277,883.7,597.9"
51,Faster R-CNN,truck,0.548,23079.2,false,"570,26.4,727.3,173.1"
52,Faster R-CNN,car,0.509,2870.3,true,"865,1.2,916,57.6"
53,Faster R-CNN,car,0.506,10085.5,false,"37.5,30.6,137.7,131.2"
54,Faster R-CNN,car,0.465,577.6,true,"629.9,0.7,660.5,19.6"
55,Faster R-CNN,car,0.434,13282.3,false,"790.1,86,920.3,188"
56,Faster R-CNN,car,0.418,13820.2,false,"610.4,202.2,749.4,301.6"
57,Faster R-CNN,car,0.409,26128.8,false,"570.6,27.4,735.1,186.2"
58,Faster R-CNN,car,0.408,8774.4,false,"559.2,25.3,648.1,124"
59,Faster R-CNN,car,0.407,3926.7,true,"469.3,289.5,501.7,410.5"
60,Faster R-CNN,car,0.405,4465.7,true,"900.7,1.9,988.5,52.8"
61,Faster R-CNN,car,0.399,4138,true,"83.5,289.3,128.4,381.4"
62,Faster R-CNN,car,0.352,3211.4,true,"718.5,13.6,803.8,51.2"
63,Faster R-CNN,car,0.33,2158.3,true,"813.5,0,871,37.5"
64,Faster R-CNN,car,0.319,1516.7,true,"251,4.2,314.9,27.9"
65,Faster R-CNN,person,0.31,3560.1,true,"246.9,496.5,312.8,550.5"
