,model,class,score,area_px,small_object,box
0,YOLOv8n,car,0.933,56633,false,"684.4,492.7,986,680.5"
1,YOLOv8n,car,0.922,63285.3,false,"211.7,447.9,483.2,681"
2,YOLOv8n,car,0.855,12397.4,false,"0.1,428.5,63.1,625.3"
3,YOLOv8n,car,0.82,23191.4,false,"849.6,198.4,1008.9,344"
4,YOLOv8n,car,0.808,48662.9,false,"159.1,384.2,390.4,594.6"
5,YOLOv8n,car,0.785,44395.8,false,"665.1,304.3,902.2,491.6"
6,YOLOv8n,car,0.782,27851.5,false,"619,235.4,791.3,397.1"
7,YOLOv8n,car,0.778,25241,false,"19.7,159.8,187,310.7"
8,YOLOv8n,car,0.776,4940.9,true,"0.1,85.9,47.5,190.1"
9,YOLOv8n,car,0.714,12463.7,false,"755.1,75.5,871.2,182.9"
10,YOLOv8n,car,0.706,6881.2,true,"967.9,243.1,1023.5,366.8"
11,YOLOv8n,car,0.702,19468.2,false,"267.3,214.6,403.7,357.3"
12,YOLOv8n,car,0.678,31149.6,false,"308.2,314.4,482.6,493"
13,YOLOv8n,car,0.663,49228.3,false,"598.4,397.9,828.4,611.9"
14,YOLOv8n,car,0.656,33654.7,false,"308.1,236,501.1,410.4"
15,YOLOv8n,car,0.653,9113,false,"320.8,170.9,457.3,237.7"
16,YOLOv8n,car,0.647,19464.3,false,"830,98.6,969.1,238.5"
17,YOLOv8n,car,0.644,8669.1,false,"1.2,66.6,88.8,165.5"
18,YOLOv8n,car,0.61,44425.9,false,"0,226.5,151.3,520.2"
19,YOLOv8n,truck,0.591,14812,false,"338.4,24.6,467.3,139.5"
20,YOLOv8n,car,0.586,16239.1,false,"105.1,620.7,373.1,681.3"
21,YOLOv8n,car,0.57,16858.1,false,"339.7,109.4,473.2,235.7"
22,YOLOv8n,car,0.563,16555.3,false,"606.1,200,774.1,298.6"
23,YOLOv8n,car,0.559,12501.6,false,"421.4,75.5,532.7,187.8"
24,YOLOv8n,car,0.557,22665.2,false,"594.2,155.6,755,296.6"
25,YOLOv8n,car,0.549,10852.5,false,"138.1,95.5,249.4,193"
26,YOLOv8n,car,0.526,18514.4,false,"1.1,221.4,144.5,350.5"
27,YOLOv8n,car,0.514,14900,false,"98.1,129.7,218.9,253.1"
28,YOLOv8n,car,0.509,12516.3,false,"175.5,61.7,285.6,175.4"
29,YOLOv8n,car,0.507,16176.8,false,"568.8,118.5,691.5,250.4"
30,YOLOv8n,car,0.492,7867.7,false,"225,40.1,318.8,124.1"
31,YOLOv8n,car,0.488,3811.3,true,"553.4,34,595.7,124"
32,YOLOv8n,bus,0.468,20291,false,"579.2,30.2,728.4,166.2"
33,YOLOv8n,car,0.463,7638.9,false,"904.7,14.4,1000.3,94.3"
34,YOLOv8n,car,0.43,6356.9,true,"537.4,1.8,632.7,68.5"
35,YOLOv8n,car,0.425,14344.7,false,"878.2,147.2,1023.7,245.8"
36,YOLOv8n,car,0.424,11204.5,false,"744.5,51.6,858.5,149.9"
37,YOLOv8n,car,0.417,5198.7,true,"968,53.5,1023.6,146.9"
38,YOLOv8n,car,0.409,10739.8,false,"340.5,111.4,471.7,193.2"
39,YOLOv8n,car,0.404,10432.7,false,"38.7,29.7,143.4,129.5"
40,YOLOv8n,car,0.389,8340,false,"86.2,0.8,179.6,90.1"
41,YOLOv8n,truck,0.386,21163.5,false,"579.1,30.6,730.8,170.2"
42,YOLOv8n,car,0.365,5886.8,true,"41.9,62.4,116.8,141"
43,YOLOv8n,car,0.323,5272,true,"274.3,25.5,339.7,106.1"
