,model,class,status,iou,score
0,YOLOv8n,car,TP,0.858,0.933
1,YOLOv8n,car,FP,0.311,0.922
2,YOLOv8n,car,FP,0.383,0.855
3,YOLOv8n,car,TP,0.695,0.82
4,YOLOv8n,car,FP,0.312,0.808
5,YOLOv8n,car,TP,0.788,0.785
6,YOLOv8n,car,TP,0.663,0.782
7,YOLOv8n,car,FP,0.362,0.778
8,YOLOv8n,car,FP,0.275,0.776
9,YOLOv8n,car,FP,0.306,0.714
10,YOLOv8n,car,FP,0.155,0.706
11,YOLOv8n,car,FP,0.18,0.702
12,YOLOv8n,car,FP,0.26,0.678
13,YOLOv8n,car,TP,0.572,0.663
14,YOLOv8n,car,FP,0.281,0.656
15,YOLOv8n,car,FP,0.217,0.653
16,YOLOv8n,car,FP,0.358,0.647
17,YOLOv8n,car,FP,0.335,0.644
18,YOLOv8n,car,FP,0.402,0.61
19,YOLOv8n,truck,FP,0.37,0.591
20,YOLOv8n,car,FP,0.487,0.586
21,YOLOv8n,car,FP,0.401,0.57
22,YOLOv8n,car,FP,0.329,0.563
23,YOLOv8n,car,FP,0.156,0.559
24,YOLOv8n,car,TP,0.525,0.557
25,YOLOv8n,car,FP,0.27,0.549
26,YOLOv8n,car,FP,0.493,0.526
27,YOLOv8n,car,TP,0.567,0.514
28,YOLOv8n,car,FP,0.425,0.509
29,YOLOv8n,car,FP,0.108,0.507
30,YOLOv8n,car,FP,0.355,0.492
31,YOLOv8n,car,FP,0.257,0.488
32,YOLOv8n,bus,FP,0,0.468
33,YOLOv8n,car,TP,0.693,0.463
34,YOLOv8n,car,FP,0.298,0.43
35,YOLOv8n,car,FP,0.459,0.425
36,YOLOv8n,car,FP,0.205,0.424
37,YOLOv8n,car,FP,0.101,0.417
38,YOLOv8n,car,FP,0.256,0.409
39,YOLOv8n,car,FP,0.282,0.404
40,YOLOv8n,car,TP,0.567,0.389
41,YOLOv8n,truck,TP,0.587,0.386
42,YOLOv8n,car,FP,0.167,0.365
43,YOLOv8n,car,FP,0.173,0.323
44,-,car,FN,0,
45,-,car,FN,0,
46,-,truck,FN,0,
47,-,car,FN,0,
48,-,car,FN,0,
49,-,car,FN,0,
50,-,car,FN,0,
51,-,car,FN,0,
52,-,car,FN,0,
53,-,car,FN,0,
54,-,car,FN,0,
55,-,car,FN,0,
56,-,car,FN,0,
57,-,car,FN,0,
58,-,car,FN,0,
59,-,car,FN,0,
60,-,car,FN,0,
61,-,car,FN,0,
62,-,car,FN,0,
63,-,car,FN,0,
64,-,car,FN,0,
