,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
0,0,YOLOv8n,8,0.56,1,0.0795,12.57
1,0,Faster R-CNN,33,0.61,22,2.2403,0.45
2,5,YOLOv8n,7,0.624,0,0.0564,17.74
3,5,Faster R-CNN,31,0.703,17,2.5851,0.39
4,10,YOLOv8n,7,0.547,0,0.0628,15.92
5,10,Faster R-CNN,34,0.654,21,2.6414,0.38
6,15,YOLOv8n,9,0.598,1,0.078,12.83
7,15,Faster R-CNN,29,0.662,16,2.5743,0.39
8,20,YOLOv8n,9,0.596,2,0.0701,14.27
9,20,Faster R-CNN,29,0.659,15,2.5939,0.39
10,25,YOLOv8n,8,0.623,0,0.0693,14.42
11,25,Faster R-CNN,28,0.699,16,2.5932,0.39
12,30,YOLOv8n,8,0.653,2,0.0635,15.74
13,30,Faster R-CNN,36,0.641,24,2.6692,0.37
14,35,YOLOv8n,6,0.663,1,0.062,16.13
15,35,Faster R-CNN,35,0.631,20,2.6414,0.38
16,40,YOLOv8n,7,0.58,2,0.0581,17.23
17,40,Faster R-CNN,34,0.609,22,2.5778,0.39
18,45,YOLOv8n,9,0.606,4,0.0681,14.69
19,45,Faster R-CNN,30,0.639,18,2.5154,0.4
20,50,YOLOv8n,7,0.654,2,0.0703,14.22
21,50,Faster R-CNN,30,0.635,17,2.5228,0.4
22,55,YOLOv8n,7,0.682,2,0.0737,13.56
23,55,Faster R-CNN,35,0.603,24,2.6218,0.38
24,60,YOLOv8n,8,0.682,2,0.0555,18.02
25,60,Faster R-CNN,34,0.6,15,2.5675,0.39
26,65,YOLOv8n,8,0.641,3,0.0591,16.91
27,65,Faster R-CNN,45,0.583,30,2.5327,0.39
28,70,YOLOv8n,8,0.647,2,0.0579,17.29
29,70,Faster R-CNN,43,0.613,32,2.5183,0.4
30,75,YOLOv8n,10,0.541,4,0.0666,15.01
31,75,Faster R-CNN,37,0.634,22,2.5586,0.39
32,80,YOLOv8n,8,0.596,1,0.0606,16.5
33,80,Faster R-CNN,36,0.62,22,2.5935,0.39
34,85,YOLOv8n,6,0.65,2,0.0667,14.98
35,85,Faster R-CNN,43,0.611,28,2.5688,0.39
36,90,YOLOv8n,7,0.572,0,0.0561,17.81
37,90,Faster R-CNN,34,0.645,18,2.4241,0.41
38,95,YOLOv8n,7,0.623,1,0.068,14.71
39,95,Faster R-CNN,35,0.658,22,2.4593,0.41
40,100,YOLOv8n,6,0.616,0,0.0609,16.42
41,100,Faster R-CNN,41,0.641,26,2.5435,0.39
42,105,YOLOv8n,9,0.477,2,0.0666,15.02
43,105,Faster R-CNN,40,0.635,24,2.4756,0.4
44,110,YOLOv8n,9,0.491,3,0.0792,12.62
45,110,Faster R-CNN,35,0.701,23,2.4629,0.41
46,115,YOLOv8n,7,0.525,3,0.0691,14.47
47,115,Faster R-CNN,40,0.664,25,2.5288,0.4
48,120,YOLOv8n,9,0.459,3,0.0618,16.19
49,120,Faster R-CNN,46,0.623,31,2.5703,0.39
50,125,YOLOv8n,6,0.56,2,0.0631,15.85
51,125,Faster R-CNN,43,0.611,20,2.4506,0.41
52,130,YOLOv8n,8,0.501,2,0.0749,13.36
53,130,Faster R-CNN,40,0.637,20,2.6596,0.38
54,135,YOLOv8n,7,0.506,2,0.0763,13.1
55,135,Faster R-CNN,37,0.653,19,2.5793,0.39
56,140,YOLOv8n,6,0.515,2,0.0674,14.84
57,140,Faster R-CNN,35,0.647,17,2.7082,0.37
58,145,YOLOv8n,9,0.458,4,0.0675,14.82
59,145,Faster R-CNN,32,0.664,14,2.6704,0.37
60,150,YOLOv8n,11,0.5,4,0.0594,16.84
61,150,Faster R-CNN,27,0.668,13,2.6357,0.38
62,155,YOLOv8n,12,0.478,5,0.0658,15.19
63,155,Faster R-CNN,31,0.663,16,2.5922,0.39
64,160,YOLOv8n,13,0.474,6,0.0686,14.57
65,160,Faster R-CNN,36,0.656,21,2.5478,0.39
66,165,YOLOv8n,12,0.512,6,0.0829,12.06
67,165,Faster R-CNN,39,0.668,25,2.6384,0.38
68,170,YOLOv8n,10,0.521,5,0.0661,15.12
69,170,Faster R-CNN,38,0.642,24,2.5731,0.39
70,175,YOLOv8n,12,0.507,6,0.0768,13.02
71,175,Faster R-CNN,37,0.628,24,2.6886,0.37
72,180,YOLOv8n,11,0.513,6,0.0785,12.74
73,180,Faster R-CNN,36,0.652,25,2.6649,0.38
74,185,YOLOv8n,9,0.51,5,0.0625,15.99
75,185,Faster R-CNN,40,0.656,30,2.6411,0.38
76,190,YOLOv8n,9,0.491,4,0.0641,15.6
77,190,Faster R-CNN,35,0.679,26,2.6465,0.38
78,195,YOLOv8n,12,0.448,6,0.0764,13.09
79,195,Faster R-CNN,42,0.676,32,2.5984,0.38
