,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
0,0,YOLOv8n,0,0,0,0.0644,15.54
1,0,Faster R-CNN,0,0,0,1.9499,0.51
2,5,YOLOv8n,0,0,0,0.0503,19.87
3,5,Faster R-CNN,0,0,0,1.9803,0.5
4,10,YOLOv8n,0,0,0,0.0455,22
5,10,Faster R-CNN,0,0,0,2.0234,0.49
6,15,YOLOv8n,1,0.401,1,0.0436,22.91
7,15,Faster R-CNN,1,0.929,1,2.038,0.49
8,20,YOLOv8n,0,0,0,0.0493,20.28
9,20,Faster R-CNN,1,0.956,0,2.0794,0.48
10,25,YOLOv8n,1,0.869,0,0.0549,18.23
11,25,Faster R-CNN,1,0.999,0,2.3119,0.43
12,30,YOLOv8n,1,0.661,0,0.0535,18.69
13,30,Faster R-CNN,1,0.997,0,2.2367,0.45
14,35,YOLOv8n,1,0.722,0,0.0505,19.79
15,35,Faster R-CNN,1,0.98,0,2.2484,0.44
16,40,YOLOv8n,1,0.809,0,0.0558,17.91
17,40,Faster R-CNN,1,0.999,0,2.3025,0.43
18,45,YOLOv8n,1,0.612,0,0.0584,17.13
19,45,Faster R-CNN,1,0.998,0,2.3193,0.43
20,50,YOLOv8n,1,0.755,0,0.0538,18.58
21,50,Faster R-CNN,1,0.998,0,2.2687,0.44
22,55,YOLOv8n,1,0.755,0,0.0514,19.47
23,55,Faster R-CNN,1,0.999,0,2.2832,0.44
24,60,YOLOv8n,1,0.855,0,0.0509,19.65
25,60,Faster R-CNN,1,0.999,0,2.2132,0.45
26,65,YOLOv8n,1,0.74,0,0.0531,18.82
27,65,Faster R-CNN,1,0.999,0,2.1531,0.46
28,70,YOLOv8n,1,0.458,0,0.06,16.67
29,70,Faster R-CNN,1,0.998,0,2.1701,0.46
30,75,YOLOv8n,1,0.733,0,0.0489,20.44
31,75,Faster R-CNN,1,0.994,0,2.2343,0.45
32,80,YOLOv8n,2,0.498,0,0.0471,21.23
33,80,Faster R-CNN,1,0.998,1,2.2184,0.45
34,85,YOLOv8n,0,0,0,0.0509,19.63
35,85,Faster R-CNN,0,0,0,2.1602,0.46
36,90,YOLOv8n,0,0,0,0.0494,20.23
37,90,Faster R-CNN,0,0,0,2.1767,0.46
38,95,YOLOv8n,0,0,0,0.0495,20.21
39,95,Faster R-CNN,0,0,0,2.2223,0.45
40,100,YOLOv8n,0,0,0,0.0486,20.56
41,100,Faster R-CNN,0,0,0,2.1199,0.47
42,105,YOLOv8n,0,0,0,0.0523,19.13
43,105,Faster R-CNN,0,0,0,2.164,0.46
44,110,YOLOv8n,0,0,0,0.0519,19.28
45,110,Faster R-CNN,0,0,0,2.1308,0.47
46,115,YOLOv8n,0,0,0,0.0527,18.97
47,115,Faster R-CNN,0,0,0,2.1589,0.46
48,120,YOLOv8n,0,0,0,0.0506,19.77
49,120,Faster R-CNN,0,0,0,2.1516,0.46
50,125,YOLOv8n,0,0,0,0.0508,19.7
51,125,Faster R-CNN,0,0,0,2.1521,0.46
52,130,YOLOv8n,0,0,0,0.0463,21.61
53,130,Faster R-CNN,0,0,0,2.1647,0.46
54,135,YOLOv8n,0,0,0,0.0487,20.51
55,135,Faster R-CNN,0,0,0,2.1242,0.47
56,140,YOLOv8n,0,0,0,0.0622,16.09
57,140,Faster R-CNN,0,0,0,2.142,0.47
58,145,YOLOv8n,0,0,0,0.0524,19.08
59,145,Faster R-CNN,0,0,0,2.0679,0.48
60,150,YOLOv8n,0,0,0,0.0506,19.77
61,150,Faster R-CNN,0,0,0,2.0546,0.49
62,155,YOLOv8n,0,0,0,0.0568,17.62
63,155,Faster R-CNN,0,0,0,2.1912,0.46
64,160,YOLOv8n,0,0,0,0.055,18.17
65,160,Faster R-CNN,0,0,0,2.8623,0.35
66,165,YOLOv8n,0,0,0,0.0665,15.03
67,165,Faster R-CNN,0,0,0,2.6983,0.37
68,170,YOLOv8n,0,0,0,0.0577,17.34
69,170,Faster R-CNN,0,0,0,2.6643,0.38
70,175,YOLOv8n,1,0.399,0,0.0596,16.79
71,175,Faster R-CNN,1,0.984,0,2.6988,0.37
72,180,YOLOv8n,0,0,0,0.07,14.28
73,180,Faster R-CNN,1,0.957,0,2.7197,0.37
74,185,YOLOv8n,0,0,0,0.0686,14.58
75,185,Faster R-CNN,1,0.593,0,2.6883,0.37
76,190,YOLOv8n,0,0,0,0.0705,14.18
77,190,Faster R-CNN,1,0.659,0,2.6739,0.37
78,195,YOLOv8n,0,0,0,0.0725,13.79
79,195,Faster R-CNN,0,0,0,2.7689,0.36
80,200,YOLOv8n,0,0,0,0.0862,11.6
81,200,Faster R-CNN,0,0,0,2.709,0.37
82,205,YOLOv8n,1,0.798,0,0.0666,15
83,205,Faster R-CNN,1,0.38,0,2.6729,0.37
84,210,YOLOv8n,1,0.576,0,0.0609,16.42
85,210,Faster R-CNN,1,0.736,0,2.7588,0.36
86,215,YOLOv8n,1,0.757,0,0.0595,16.81
87,215,Faster R-CNN,1,0.962,0,2.7409,0.36
88,220,YOLOv8n,1,0.926,0,0.0663,15.08
89,220,Faster R-CNN,1,0.986,0,2.802,0.36
90,225,YOLOv8n,1,0.902,0,0.0714,14
91,225,Faster R-CNN,1,0.993,0,2.6858,0.37
92,230,YOLOv8n,0,0,0,0.0657,15.23
93,230,Faster R-CNN,1,0.992,0,2.7109,0.37
94,235,YOLOv8n,0,0,0,0.0632,15.83
95,235,Faster R-CNN,0,0,0,2.6696,0.37
96,240,YOLOv8n,0,0,0,0.0609,16.41
97,240,Faster R-CNN,0,0,0,2.6172,0.38
98,245,YOLOv8n,0,0,0,0.0618,16.18
99,245,Faster R-CNN,0,0,0,2.6392,0.38
100,250,YOLOv8n,0,0,0,0.0613,16.3
101,250,Faster R-CNN,0,0,0,2.6754,0.37
102,255,YOLOv8n,0,0,0,0.0764,13.1
103,255,Faster R-CNN,0,0,0,2.5931,0.39
104,260,YOLOv8n,0,0,0,0.0567,17.64
105,260,Faster R-CNN,0,0,0,2.5954,0.39
106,265,YOLOv8n,0,0,0,0.0611,16.37
107,265,Faster R-CNN,0,0,0,2.599,0.38
108,270,YOLOv8n,0,0,0,0.0586,17.07
109,270,Faster R-CNN,0,0,0,2.6111,0.38
110,275,YOLOv8n,0,0,0,0.0617,16.2
111,275,Faster R-CNN,0,0,0,2.5456,0.39
112,280,YOLOv8n,0,0,0,0.0595,16.81
113,280,Faster R-CNN,0,0,0,2.5532,0.39
114,285,YOLOv8n,0,0,0,0.0627,15.94
115,285,Faster R-CNN,0,0,0,2.5249,0.4
116,290,YOLOv8n,0,0,0,0.0543,18.42
117,290,Faster R-CNN,0,0,0,2.6036,0.38
118,295,YOLOv8n,0,0,0,0.0734,13.63
119,295,Faster R-CNN,0,0,0,2.5523,0.39
120,300,YOLOv8n,0,0,0,0.0567,17.63
121,300,Faster R-CNN,0,0,0,2.6178,0.38
122,305,YOLOv8n,0,0,0,0.0609,16.43
123,305,Faster R-CNN,1,0.726,1,2.5587,0.39
124,310,YOLOv8n,0,0,0,0.0686,14.59
125,310,Faster R-CNN,2,0.603,2,2.6189,0.38
126,315,YOLOv8n,0,0,0,0.0751,13.32
127,315,Faster R-CNN,3,0.9,3,2.623,0.38
128,320,YOLOv8n,0,0,0,0.0591,16.93
129,320,Faster R-CNN,4,0.726,4,2.6257,0.38
130,325,YOLOv8n,3,0.481,2,0.0697,14.34
131,325,Faster R-CNN,2,0.978,2,2.6141,0.38
132,330,YOLOv8n,2,0.642,1,0.0659,15.18
133,330,Faster R-CNN,2,0.983,1,2.7251,0.37
134,335,YOLOv8n,2,0.658,1,0.0636,15.72
135,335,Faster R-CNN,2,0.98,1,2.6567,0.38
136,340,YOLOv8n,2,0.703,1,0.0647,15.45
137,340,Faster R-CNN,3,0.768,2,2.6511,0.38
138,345,YOLOv8n,2,0.734,1,0.0698,14.33
139,345,Faster R-CNN,2,0.969,2,2.7669,0.36
140,350,YOLOv8n,0,0,0,0.072,13.89
141,350,Faster R-CNN,2,0.666,2,2.6455,0.38
142,355,YOLOv8n,0,0,0,0.0704,14.2
143,355,Faster R-CNN,0,0,0,2.6288,0.38
144,360,YOLOv8n,0,0,0,0.0587,17.03
145,360,Faster R-CNN,0,0,0,2.6705,0.37
146,365,YOLOv8n,0,0,0,0.0657,15.22
147,365,Faster R-CNN,0,0,0,2.6451,0.38
148,370,YOLOv8n,0,0,0,0.0788,12.69
149,370,Faster R-CNN,0,0,0,2.6797,0.37
150,375,YOLOv8n,0,0,0,0.0663,15.09
151,375,Faster R-CNN,0,0,0,2.6314,0.38
152,380,YOLOv8n,0,0,0,0.0624,16.02
153,380,Faster R-CNN,0,0,0,2.6885,0.37
154,385,YOLOv8n,0,0,0,0.0695,14.38
