,model,class,score,area_px,small_object,box
0,Faster R-CNN,car,0.996,126174.4,false,"1345.4,1986.6,1676.5,2367.8"
1,Faster R-CNN,car,0.988,43902.9,true,"938.9,1687.9,1162.2,1884.5"
2,Faster R-CNN,car,0.987,159169.6,false,"2409.5,1982.7,2819.3,2371.2"
3,Faster R-CNN,car,0.982,98197,true,"2257.5,1734.1,2579.1,2039.4"
4,Faster R-CNN,car,0.981,82234.9,true,"731,1876.7,1035.2,2147.1"
5,Faster R-CNN,car,0.965,78690.2,true,"1828.4,1841,2122.8,2108.3"
6,Faster R-CNN,car,0.946,46569.2,true,"1329.3,1672.8,1551.8,1882.2"
7,Faster R-CNN,car,0.943,32614.4,true,"1053.7,1501.1,1229.1,1687.1"
8,Faster R-CNN,car,0.92,6009.5,true,"1265.5,1090.3,1343.6,1167.2"
9,Faster R-CNN,car,0.904,52828.5,true,"1988.7,1657.3,2231.1,1875.3"
10,Faster R-CNN,car,0.896,336508,false,"346.2,2176.7,888.1,2797.6"
11,Faster R-CNN,car,0.869,15805.2,true,"1190.7,1372.9,1333.6,1483.5"
12,Faster R-CNN,car,0.864,28653.8,true,"1471.1,1463.9,1654.5,1620.1"
13,Faster R-CNN,car,0.846,3402.3,true,"1334.7,990.9,1398.7,1044.1"
14,Faster R-CNN,car,0.823,359182.6,false,"1956,2523.9,2550.3,3128.4"
15,Faster R-CNN,car,0.818,2940.7,true,"1331.5,1051.9,1389.3,1102.7"
16,Faster R-CNN,car,0.785,11720.8,true,"1163.1,1369.4,1305.3,1451.8"
17,Faster R-CNN,car,0.784,8186.1,true,"1164.6,1295,1273.3,1370.3"
18,Faster R-CNN,car,0.737,24014.9,true,"1397.2,1378.3,1544.1,1541.8"
19,Faster R-CNN,car,0.714,634551,false,"1120.6,2647.6,1766.8,3629.5"
20,Faster R-CNN,car,0.699,4202.7,true,"1427.3,1162.9,1510.5,1213.4"
21,Faster R-CNN,car,0.69,34574.6,true,"2044.9,1490.4,2242.1,1665.6"
22,Faster R-CNN,car,0.686,47708.5,true,"1777.1,1544.5,1979.8,1780"
23,Faster R-CNN,car,0.673,14132.2,true,"1148.6,1319.8,1273,1433.4"
24,Faster R-CNN,car,0.666,22715.3,true,"1059.4,1467.5,1225.5,1604.2"
25,Faster R-CNN,car,0.652,2875.5,true,"1502.6,958.1,1565.5,1003.9"
26,Faster R-CNN,car,0.644,20243.3,true,"1634.9,1400.1,1787.1,1533.1"
27,Faster R-CNN,car,0.617,2839.8,true,"1473,1109,1529.1,1159.6"
28,Faster R-CNN,car,0.59,2904.5,true,"1427.3,962.4,1502.1,1001.2"
29,Faster R-CNN,car,0.57,5030.7,true,"1425.4,1056.1,1509.6,1115.9"
30,Faster R-CNN,traffic light,0.566,1847,true,"376.5,1449.3,413.9,1498.6"
31,Faster R-CNN,car,0.536,2000.9,true,"1556.2,1115.8,1602.7,1158.8"
32,Faster R-CNN,car,0.522,11557.3,true,"1750.5,1204,1874.9,1296.8"
33,Faster R-CNN,car,0.489,12103.5,true,"1415.4,1008.9,1521.2,1123.3"
34,Faster R-CNN,car,0.44,2299.1,true,"1552.3,1065.1,1610.6,1104.6"
35,Faster R-CNN,truck,0.438,358350.8,false,"1938.3,2514,2525.6,3124.2"
36,Faster R-CNN,car,0.435,27395.4,true,"1707.2,1453.8,1875.2,1616.8"
37,Faster R-CNN,car,0.417,6906.6,true,"1193.8,1264.4,1307.9,1324.9"
38,Faster R-CNN,car,0.402,2460.1,true,"1646.9,1165.9,1693.8,1218.3"
39,Faster R-CNN,car,0.397,2577.6,true,"1560,1091.2,1632.1,1126.9"
40,Faster R-CNN,car,0.384,2660,true,"1512.2,1013.8,1578.2,1054.2"
41,Faster R-CNN,bus,0.345,618130.2,false,"1120.1,2629.4,1757.1,3599.9"
42,Faster R-CNN,car,0.34,3102.8,true,"1422,1139.4,1504.5,1177"
43,Faster R-CNN,car,0.332,2801.5,true,"1331.8,1018,1395.4,1062"
44,Faster R-CNN,car,0.329,10512.5,true,"1229.1,1168,1331.4,1270.9"
45,Faster R-CNN,car,0.329,2403.8,true,"1560.7,1103.2,1629.8,1138"
46,Faster R-CNN,truck,0.326,11107.4,true,"1229.1,1164.7,1332.1,1272.6"
47,Faster R-CNN,car,0.313,4378.6,true,"1422.5,977.3,1510.2,1027.2"
48,Faster R-CNN,car,0.308,1982.9,true,"1513,976.7,1568.5,1012.4"
49,Faster R-CNN,car,0.307,3852.5,true,"1277.8,1076.4,1345.8,1133"
50,Faster R-CNN,truck,0.306,35115.8,true,"2040.5,1489.6,2239.2,1666.3"
