,model,class,score,area_px,small_object,box
0,YOLOv8n,car,0.808,138303.5,false,"2412.1,1994.9,2820.1,2333.9"
1,YOLOv8n,bus,0.661,642239.8,false,"1131,2614,1769.9,3619.1"
2,YOLOv8n,car,0.624,321489.4,false,"357.5,2161.6,876,2781.7"
3,YOLOv8n,car,0.604,115496.3,false,"1351.5,1968.2,1661.3,2341"
4,YOLOv8n,car,0.547,73930.4,true,"1836.3,1842,2121.7,2101"
5,YOLOv8n,car,0.467,52477.3,true,"1979.1,1652.3,2226.4,1864.5"
6,YOLOv8n,car,0.465,95320.1,true,"2258.9,1744,2600,2023.4"
7,YOLOv8n,car,0.462,36813,true,"1343.4,1689.1,1541.4,1875.1"
8,YOLOv8n,car,0.4,78041.3,true,"735.1,1875.7,1025.7,2144.3"
9,YOLOv8n,car,0.352,39863.5,true,"1778.7,1579.7,1982.7,1775.1"
10,YOLOv8n,truck,0.324,98176.3,true,"2257.1,1741.3,2598.2,2029.1"
11,YOLOv8n,truck,0.304,350908.7,false,"1962.7,2499.7,2537.1,3110.6"
