,model,class,status,iou,score
0,Faster R-CNN,car,FP,0,0.996
1,Faster R-CNN,car,FP,0,0.988
2,Faster R-CNN,car,FP,0,0.987
3,Faster R-CNN,car,FP,0,0.982
4,Faster R-CNN,car,FP,0,0.981
5,Faster R-CNN,car,FP,0,0.965
6,Faster R-CNN,car,FP,0,0.946
7,Faster R-CNN,car,FP,0,0.943
8,Faster R-CNN,car,FP,0.145,0.92
9,Faster R-CNN,car,FP,0,0.904
10,Faster R-CNN,car,FP,0,0.896
11,Faster R-CNN,car,FP,0,0.869
12,Faster R-CNN,car,FP,0,0.864
13,Faster R-CNN,car,FP,0.064,0.846
14,Faster R-CNN,car,FP,0,0.823
15,Faster R-CNN,car,FP,0.058,0.818
16,Faster R-CNN,car,FP,0,0.785
17,Faster R-CNN,car,FP,0,0.784
18,Faster R-CNN,car,FP,0,0.737
19,Faster R-CNN,car,FP,0,0.714
20,Faster R-CNN,car,FP,0.067,0.699
21,Faster R-CNN,car,FP,0,0.69
22,Faster R-CNN,car,FP,0,0.686
23,Faster R-CNN,car,FP,0,0.673
24,Faster R-CNN,car,FP,0,0.666
25,Faster R-CNN,car,FP,0,0.652
26,Faster R-CNN,car,FP,0,0.644
27,Faster R-CNN,car,FP,0.013,0.617
28,Faster R-CNN,car,FP,0,0.59
29,Faster R-CNN,car,FP,0.074,0.57
30,Faster R-CNN,traffic light,FP,0,0.566
31,Faster R-CNN,car,FP,0,0.536
32,Faster R-CNN,car,FP,0,0.522
33,Faster R-CNN,car,FP,0.087,0.489
34,Faster R-CNN,car,FP,0,0.44
35,Faster R-CNN,truck,FP,0,0.438
36,Faster R-CNN,car,FP,0,0.435
37,Faster R-CNN,car,FP,0,0.417
38,Faster R-CNN,car,FP,0,0.402
39,Faster R-CNN,car,FP,0,0.397
40,Faster R-CNN,car,FP,0,0.384
41,Faster R-CNN,bus,FP,0,0.345
42,Faster R-CNN,car,FP,0.055,0.34
43,Faster R-CNN,car,FP,0.058,0.332
44,Faster R-CNN,car,FP,0.117,0.329
45,Faster R-CNN,car,FP,0,0.329
46,Faster R-CNN,truck,FP,0,0.326
47,Faster R-CNN,car,FP,0,0.313
48,Faster R-CNN,car,FP,0,0.308
49,Faster R-CNN,car,FP,0.093,0.307
50,Faster R-CNN,truck,FP,0,0.306
51,-,bus,FN,0,
52,-,car,FN,0,
53,-,car,FN,0,
54,-,car,FN,0,
55,-,car,FN,0,
56,-,car,FN,0,
57,-,car,FN,0,
58,-,car,FN,0,
59,-,car,FN,0,
60,-,car,FN,0,
61,-,car,FN,0,
62,-,car,FN,0,
63,-,car,FN,0,
64,-,car,FN,0,
65,-,car,FN,0,
66,-,car,FN,0,
67,-,car,FN,0,
68,-,car,FN,0,
69,-,car,FN,0,
70,-,car,FN,0,
71,-,car,FN,0,
72,-,car,FN,0,
73,-,car,FN,0,
74,-,car,FN,0,
75,-,car,FN,0,
76,-,car,FN,0,
77,-,car,FN,0,
78,-,car,FN,0,
79,-,car,FN,0,
80,-,car,FN,0,
81,-,car,FN,0,
82,-,car,FN,0,
83,-,bus,FN,0,
84,-,car,FN,0,
85,-,bus,FN,0,
