,model,class,status,iou,score
0,YOLOv8n,car,FP,0,0.808
1,YOLOv8n,bus,FP,0,0.661
2,YOLOv8n,car,FP,0,0.624
3,YOLOv8n,car,FP,0,0.604
4,YOLOv8n,car,FP,0,0.547
5,YOLOv8n,car,FP,0,0.467
6,YOLOv8n,car,FP,0,0.465
7,YOLOv8n,car,FP,0,0.462
8,YOLOv8n,car,FP,0,0.4
9,YOLOv8n,car,FP,0,0.352
10,YOLOv8n,truck,FP,0,0.324
11,YOLOv8n,truck,FP,0,0.304
12,-,bus,FN,0,
13,-,car,FN,0,
14,-,car,FN,0,
15,-,car,FN,0,
16,-,car,FN,0,
17,-,car,FN,0,
18,-,car,FN,0,
19,-,car,FN,0,
20,-,car,FN,0,
21,-,car,FN,0,
22,-,car,FN,0,
23,-,car,FN,0,
24,-,car,FN,0,
25,-,car,FN,0,
26,-,car,FN,0,
27,-,car,FN,0,
28,-,car,FN,0,
29,-,car,FN,0,
30,-,car,FN,0,
31,-,car,FN,0,
32,-,car,FN,0,
33,-,car,FN,0,
34,-,car,FN,0,
35,-,car,FN,0,
36,-,car,FN,0,
37,-,car,FN,0,
38,-,car,FN,0,
39,-,car,FN,0,
40,-,car,FN,0,
41,-,car,FN,0,
42,-,car,FN,0,
43,-,car,FN,0,
44,-,bus,FN,0,
45,-,car,FN,0,
46,-,bus,FN,0,
