,model,class,score,area_px,small_object,box
0,Faster R-CNN,person,0.995,6728894.1,false,"3.7,2365.1,1911,5893"
1,Faster R-CNN,person,0.993,3034862.9,false,"1418.2,3103.9,2517.7,5863.9"
2,Faster R-CNN,person,0.987,2860352.4,false,"3074,2537,3929,5882.6"
3,Faster R-CNN,person,0.983,421911.2,false,"2791.6,2232.5,3183,3310.4"
4,Faster R-CNN,person,0.975,1400041.3,false,"660.1,2781.3,1576.3,4309.4"
5,Faster R-CNN,person,0.971,1945205.1,false,"2453.4,3316.6,3220.6,5851.7"
6,Faster R-CNN,person,0.92,351671.9,false,"2330.9,2179.2,2736.9,3045.4"
7,Faster R-CNN,traffic light,0.919,145422,true,"185.7,1825.4,463.5,2349"
8,Faster R-CNN,person,0.902,463731.5,false,"2020.4,2517.1,2499.3,3485.3"
9,Faster R-CNN,person,0.887,466272.8,false,"1245.2,2544.9,1809.5,3371.2"
10,Faster R-CNN,person,0.848,537712.3,false,"2333.3,2826.7,2800.9,3976.6"
11,Faster R-CNN,person,0.846,266631.9,false,"1541.5,2415.2,1900.4,3158.1"
12,Faster R-CNN,person,0.843,3308488.2,false,"574.8,2716,1704.9,5643.6"
13,Faster R-CNN,person,0.84,66339.5,true,"1438,2247.2,1655.5,2552.3"
14,Faster R-CNN,traffic light,0.839,3640.9,true,"2040.7,1761.5,2098.9,1824"
15,Faster R-CNN,person,0.834,100142.9,true,"841,2388.3,1106.9,2764.9"
16,Faster R-CNN,person,0.783,208233.8,true,"3305.6,2121,3711.2,2634.3"
17,Faster R-CNN,person,0.767,147852.2,true,"2100.4,2186.5,2405.4,2671.4"
18,Faster R-CNN,person,0.752,209555.7,true,"2606,2255,2833.8,3174.8"
19,Faster R-CNN,person,0.739,66046.8,true,"566.2,2268.1,758,2612.6"
20,Faster R-CNN,person,0.716,150418.6,true,"1158.4,2200.1,1429.7,2754.6"
21,Faster R-CNN,person,0.697,330051,false,"3146.2,2500.8,3539.8,3339.3"
22,Faster R-CNN,person,0.655,1077900.3,false,"2438.7,3181.2,3254,4503.4"
23,Faster R-CNN,person,0.647,33910.3,true,"795.5,2212.9,956.6,2423.4"
24,Faster R-CNN,person,0.646,113684.3,true,"3223.6,2336.6,3532.5,2704.6"
25,Faster R-CNN,person,0.621,4526580.9,false,"819.9,2823.8,2298.2,5885.8"
26,Faster R-CNN,person,0.618,218464,true,"1842.6,2177.2,2104.5,3011.3"
27,Faster R-CNN,person,0.568,109760,true,"2601.7,2262.1,2837.3,2728.1"
28,Faster R-CNN,person,0.558,90164.9,true,"3777.1,2467.7,3923.4,3084.3"
29,Faster R-CNN,person,0.542,127555.9,true,"643.9,2466.7,949.1,2884.6"
30,Faster R-CNN,person,0.494,14880.7,true,"717.9,2305.9,814.5,2459.9"
31,Faster R-CNN,person,0.46,75281.1,true,"159,2208.8,459.6,2459.2"
32,Faster R-CNN,person,0.449,135887.7,true,"3255.4,2526.2,3524.1,3031.9"
33,Faster R-CNN,person,0.431,66238.3,true,"458.2,2266.6,646.5,2618.5"
34,Faster R-CNN,person,0.375,629822.5,false,"3178.2,2507.1,3851.8,3442.1"
35,Faster R-CNN,person,0.305,439825.5,false,"654.2,2694.6,1312.5,3362.7"
