,model,class,score,area_px,small_object,box
0,YOLOv8n,person,0.899,6544538.5,false,"2.6,2430.6,1899.4,5880.9"
1,YOLOv8n,person,0.673,2836198.8,false,"3085.9,2514.9,3925.5,5893"
2,YOLOv8n,person,0.615,399097.8,false,"2798.6,2255.9,3179.1,3304.6"
3,YOLOv8n,person,0.615,2404794.9,false,"2473.3,3217.2,3372.1,5893"
4,YOLOv8n,person,0.582,2973905.4,false,"1444.8,3106.6,2515.3,5884.7"
5,YOLOv8n,traffic light,0.517,210462,true,"156,1826.4,484.3,2467.4"
6,YOLOv8n,person,0.512,390651.5,false,"2313.7,2173.9,2739.5,3091.4"
7,YOLOv8n,person,0.468,1413056.6,false,"644.9,2735.8,1561.3,4277.8"
8,YOLOv8n,person,0.397,497142.7,false,"2008.3,2475,2453.3,3592.2"
9,YOLOv8n,person,0.396,489703.2,false,"1222.2,2572.8,1848.9,3354.3"
10,YOLOv8n,person,0.378,513330.2,false,"2332.8,2833.4,2836.9,3851.7"
