,model,class,score,area_px,small_object,box
0,Faster R-CNN,traffic light,0.991,61640.3,false,"45.6,710.4,196.5,1119.1"
1,Faster R-CNN,traffic light,0.986,83915.2,false,"801.1,684.7,991.6,1125.2"
2,Faster R-CNN,traffic light,0.981,79607.6,false,"1353.7,674.4,1538,1106.4"
3,Faster R-CNN,car,0.976,8107.8,true,"1444.2,2176,1554.3,2249.6"
4,Faster R-CNN,car,0.973,6411,true,"1596.7,2179.5,1692.3,2246.6"
5,Faster R-CNN,car,0.928,7449.3,true,"1733.2,2158.7,1821.1,2243.4"
6,Faster R-CNN,car,0.915,2371.7,true,"1692.3,2173.8,1738,2225.7"
7,Faster R-CNN,traffic light,0.884,863.1,true,"1600,2042.2,1619.7,2085.9"
8,Faster R-CNN,car,0.839,9119.3,true,"1472.9,2161,1581.7,2244.8"
9,Faster R-CNN,traffic light,0.797,825.9,true,"1308.9,2036.6,1341.8,2061.7"
10,Faster R-CNN,bus,0.74,12037.2,true,"1361.7,2119.6,1467.6,2233.3"
11,Faster R-CNN,car,0.727,6516,true,"1615.7,2165.1,1711.1,2233.4"
12,Faster R-CNN,traffic light,0.688,472.4,true,"1708.7,2036.6,1727.6,2061.6"
13,Faster R-CNN,car,0.503,3769,true,"1534.3,2163.7,1584.2,2239.2"
14,Faster R-CNN,traffic light,0.49,490.1,true,"1768.7,2030.8,1788.2,2056"
15,Faster R-CNN,traffic light,0.438,413.6,true,"1776.8,2031.1,1793.5,2055.9"
16,Faster R-CNN,car,0.413,2588.2,true,"1670.5,2173.2,1711.7,2236.1"
17,Faster R-CNN,traffic light,0.336,1123.4,true,"1652.6,1995.7,1682.3,2033.5"
18,Faster R-CNN,traffic light,0.319,567.8,true,"1755.6,2030.3,1777.6,2056.1"
