,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
0,0,YOLOv8n,0,0,0,0.058,17.26
1,0,Faster R-CNN,0,0,0,1.9803,0.5
2,5,YOLOv8n,0,0,0,0.0468,21.35
3,5,Faster R-CNN,0,0,0,2.0275,0.49
4,10,YOLOv8n,0,0,0,0.0424,23.58
5,10,Faster R-CNN,0,0,0,2.0573,0.49
6,15,YOLOv8n,0,0,0,0.0413,24.19
7,15,Faster R-CNN,0,0,0,2.0699,0.48
8,20,YOLOv8n,0,0,0,0.0428,23.34
9,20,Faster R-CNN,0,0,0,2.0732,0.48
10,25,YOLOv8n,0,0,0,0.0462,21.66
11,25,Faster R-CNN,0,0,0,2.046,0.49
12,30,YOLOv8n,0,0,0,0.0471,21.22
13,30,Faster R-CNN,0,0,0,2.2709,0.44
14,35,YOLOv8n,0,0,0,0.0547,18.28
15,35,Faster R-CNN,0,0,0,2.2776,0.44
16,40,YOLOv8n,0,0,0,0.0633,15.79
17,40,Faster R-CNN,0,0,0,2.5343,0.39
18,45,YOLOv8n,0,0,0,0.0552,18.11
19,45,Faster R-CNN,0,0,0,2.3435,0.43
20,50,YOLOv8n,0,0,0,0.0485,20.64
21,50,Faster R-CNN,0,0,0,2.353,0.42
22,55,YOLOv8n,0,0,0,0.0637,15.69
23,55,Faster R-CNN,0,0,0,2.3764,0.42
24,60,YOLOv8n,0,0,0,0.0567,17.65
25,60,Faster R-CNN,1,0.979,0,2.2587,0.44
26,65,YOLOv8n,1,0.444,0,0.0528,18.92
27,65,Faster R-CNN,1,0.959,0,2.246,0.45
28,70,YOLOv8n,0,0,0,0.0687,14.56
29,70,Faster R-CNN,1,0.859,0,2.2595,0.44
30,75,YOLOv8n,0,0,0,0.0567,17.64
31,75,Faster R-CNN,1,0.366,0,2.2808,0.44
32,80,YOLOv8n,0,0,0,0.0499,20.05
33,80,Faster R-CNN,0,0,0,2.283,0.44
34,85,YOLOv8n,0,0,0,0.0518,19.3
35,85,Faster R-CNN,0,0,0,2.2464,0.45
36,90,YOLOv8n,0,0,0,0.0538,18.6
37,90,Faster R-CNN,0,0,0,2.2414,0.45
38,95,YOLOv8n,0,0,0,0.0553,18.08
39,95,Faster R-CNN,1,0.357,0,2.2628,0.44
40,100,YOLOv8n,1,0.474,0,0.0546,18.32
41,100,Faster R-CNN,1,0.335,0,2.2213,0.45
42,105,YOLOv8n,0,0,0,0.0514,19.46
43,105,Faster R-CNN,0,0,0,2.2391,0.45
